2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 12:13:48,727 baseline.train INFO: Epoch[1] Iteration[3200/3385] Loss: 0.238, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:15:57,589 baseline.train INFO: Epoch[1] Iteration[3250/3385] Loss: 0.238, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:18:11,101 baseline.train INFO: Epoch[1] Iteration[3300/3385] Loss: 0.238, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:20:25,567 baseline.train INFO: Epoch[1] Iteration[3350/3385] Loss: 0.237, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:21:57,337 baseline.train INFO: Epoch 1 done. Time per batch: 2.648[s] Speed: 3.0[samples/s]
2021-02-09 12:24:04,211 baseline.train INFO: Epoch[2] Iteration[50/3385] Loss: 0.221, Acc: 0.910, Base Lr: 7.28e-05
2021-02-09 12:26:01,780 baseline.train INFO: Epoch[2] Iteration[100/3385] Loss: 0.218, Acc: 0.909, Base Lr: 7.28e-05
2021-02-09 12:27:54,228 baseline.train INFO: Epoch[2] Iteration[150/3385] Loss: 0.216, Acc: 0.909, Base Lr: 7.28e-05
2021-02-09 12:29:50,091 baseline.train INFO: Epoch[2] Iteration[200/3385] Loss: 0.221, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 12:31:44,005 baseline.train INFO: Epoch[2] Iteration[250/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 12:33:34,230 baseline.train INFO: Epoch[2] Iteration[300/3385] Loss: 0.225, Acc: 0.904, Base Lr: 7.28e-05
2021-02-09 12:35:26,791 baseline.train INFO: Epoch[2] Iteration[350/3385] Loss: 0.226, Acc: 0.904, Base Lr: 7.28e-05
2021-02-09 12:37:17,666 baseline.train INFO: Epoch[2] Iteration[400/3385] Loss: 0.227, Acc: 0.904, Base Lr: 7.28e-05
2021-02-09 12:39:10,167 baseline.train INFO: Epoch[2] Iteration[450/3385] Loss: 0.227, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 12:40:55,704 baseline.train INFO: Epoch[2] Iteration[500/3385] Loss: 0.226, Acc: 0.905, Base Lr: 7.28e-05
